city,lat,lng,country
Jakarta,-6.175,106.8275,Indonesia
Surabaya,-7.2458,112.7378,Indonesia
Medan,3.5894,98.6739,Indonesia
Malang,-7.98,112.62,Indonesia
Bekasi,-6.2349,106.9923,Indonesia
Depok,-6.394,106.8225,Indonesia
Tangerang,-6.1783,106.6319,Indonesia
Denpasar,-8.65,115.2167,Indonesia
Sangereng,-6.2889,106.7181,Indonesia
Semarang,-6.9667,110.4167,Indonesia
Palembang,-2.9861,104.7556,Indonesia
Makassar,-5.1619,119.4362,Indonesia
Jepara,-6.5333,110.6667,Indonesia
Sumedang,-6.84,107.9208,Indonesia
Bagam,1.0833,104.0333,Indonesia
Cilacap,-7.7167,109.017,Indonesia
Bandar Lampung,-5.45,105.2667,Indonesia
Bogor,-6.5966,106.7972,Indonesia
